테스트 1 〉	통과 (1.87ms, 37.1MB)
테스트 2 〉	통과 (1.84ms, 39.2MB)
테스트 3 〉	통과 (1.97ms, 37.2MB)
테스트 4 〉	통과 (2.09ms, 37.5MB)
테스트 5 〉	통과 (4.08ms, 38.5MB)
테스트 6 〉	통과 (4.50ms, 38.5MB)
테스트 7 〉	통과 (4.09ms, 38.1MB)
테스트 8 〉	통과 (5.88ms, 39MB)
테스트 9 〉	통과 (6.41ms, 39.3MB)
테스트 10 〉	통과 (5.53ms, 39.1MB)
테스트 11 〉	통과 (3.67ms, 38.2MB)
테스트 12 〉	통과 (3.64ms, 38.2MB)
테스트 13 〉	통과 (5.67ms, 39.2MB)
테스트 14 〉	통과 (6.36ms, 39.1MB)
테스트 15 〉	통과 (1.89ms, 37.3MB)
테스트 16 〉	통과 (1.86ms, 37.4MB)
테스트 17 〉	통과 (2.00ms, 37.6MB)
테스트 18 〉	통과 (2.28ms, 37.6MB)
테스트 19 〉	통과 (5.85ms, 39MB)
테스트 20 〉	통과 (4.05ms, 38.5MB)
테스트 21 〉	통과 (4.15ms, 38.2MB)
테스트 22 〉	통과 (4.38ms, 38.3MB)
테스트 23 〉	통과 (5.88ms, 38.9MB)
테스트 24 〉	통과 (6.02ms, 39MB)
테스트 25 〉	통과 (323.97ms, 95.1MB)
테스트 26 〉	통과 (360.56ms, 92.1MB)
테스트 27 〉	통과 (379.29ms, 97.8MB)
테스트 28 〉	통과 (382.50ms, 98.5MB)
테스트 29 〉	통과 (398.56ms, 94.2MB)
테스트 30 〉	통과 (327.13ms, 99.9MB)
테스트 31 〉	통과 (350.73ms, 97.9MB)
테스트 32 〉	통과 (329.20ms, 92.7MB)
